Timestamp,Algorithm,Param_keras_layers,Param_keras_trainable_params,Accuracy,Precision,Recall,F1-Score
2026-07-22 13:16:43,Sequential,4,1153,0.851,0.8379,0.851,0.838
2026-07-22 13:17:25,Sequential,3,385,0.8625,0.8524,0.8625,0.849
2026-07-22 13:17:39,Sequential,2,129,0.863,0.8528,0.863,0.8503
2026-07-22 14:14:16,Sequential,3,385,0.86,0.8492,0.86,0.8459
2026-07-22 14:17:53,Sequential,2,257,0.8635,0.8534,0.8635,0.8512
2026-07-22 14:19:22,Sequential,2,65,0.8615,0.8509,0.8615,0.8501
2026-07-22 14:20:15,Sequential,2,257,0.866,0.8565,0.866,0.8563
